VZRZP,"Банк ""Возрождение"" - ап",VZRZP,254.2
WTCM,"""Центр междун. торговли""ПАО ао",WTCM,9.88
WTCMP,"""Центр междун. торговли""ПАО ап",WTCMP,8.84
YAKG,Якутская топл.-энерг. комп. ао,YAKG,115.4
YKEN,"АК ""Якутскэнерго"" (ПАО) ао",YKEN,0.432
YKENP,"АК ""Якутскэнерго"" (ПАО) ап",YKENP,0.363
YNDX,PLLC Yandex N.V. class A shs,YNDX,4818.4
YRSB,ТНС энерго Ярославль ПАО ао,YRSB,226.0
YRSBP,ТНС энерго Ярославль ПАО ап,YRSBP,91.0
ZILL,Завод им. И.А.Лихачева ПАО ао,ZILL,3695.0
ZVEZ,ЗВЕЗДА ПАО ао,ZVEZ,4.18
